frame,RetiGate_Sparsity,RetiGate_Latency,FrameDiff_Sparsity,FrameDiff_Latency,MOG2_Sparsity,MOG2_Latency,DISFlow_Sparsity,DISFlow_Latency,Farneback_Sparsity,Farneback_Latency,RAFT_Sparsity,RAFT_Latency
000000,85.06988727858294,66.32245902437717,100.0,0.03829202614724636,0.0,2.3757079616189003,100.0,0.04741700831800699,100.0,0.005666050128638744,100.0,1.1635000118985772
000001,88.58915727321525,21.924500004388392,53.94353193773483,0.6084999768063426,59.092002147074616,1.0817080037668347,0.8148148148148127,10.46916691120714,6.087385936661294,33.52974995505065,0.9425657541599519,737.4647919787094
000002,90.34546430488459,24.046750040724874,51.694256575416,0.5700000328943133,66.13290391841116,1.5334170311689377,1.076757917337623,10.305666015483439,5.088137412775096,34.07516598235816,0.4289855072463822,751.6440419713035
000003,91.74020397208803,23.072084062732756,52.548362855609234,0.4528749268501997,71.6626945786366,1.2981659965589643,0.5354804079441777,10.53370803128928,4.762640901771331,33.55316701345146,0.44916800858829653,745.9686249494553
000004,93.05485775630703,22.886125021614134,55.93064949006978,0.5810839356854558,78.31497584541063,1.453207922168076,1.7049919484702136,9.766458068042994,5.147181964573266,33.52000005543232,1.024798711755237,690.1058329967782
000005,93.62404723564144,26.106790988706052,54.86935050993023,0.8109579794108868,80.83499731615673,2.0105830626562238,0.9210950080515312,10.171167086809874,4.647772410091255,33.4024999756366,0.8148148148148127,695.1075419783592
000006,93.91154052603328,23.142958991229534,55.57037037037037,0.3879590658470988,82.35942028985508,1.8891670042648911,0.5719806763284985,10.385417030192912,5.104240472356414,32.53391699399799,1.2646269457863624,692.1904589980841
000007,94.45088566827697,22.26870902813971,54.31218464841654,0.3350420156493783,83.332474503489,1.958250068128109,0.4637681159420315,10.867165983654559,4.608266237251746,31.807332998141646,1.0754696725711166,697.98604096286
000008,95.2927536231884,23.016959079541266,53.56736446591519,0.5095419473946095,84.61986044015029,1.7132909270003438,0.8427267847557651,10.199249954894185,6.654857756307031,32.8482500044629,1.2193236714975852,694.1852079471573
000009,95.8990874932904,25.509792030788958,38.93032742887815,0.5431660683825612,77.3556629092861,2.2835839772596955,2.108856682769722,10.655582998879254,8.50670960815888,34.70837511122227,3.0649490069779906,718.6956249643117
000010,96.11100375738056,24.55912495497614,52.59173376274826,0.4202909767627716,75.41771336553946,2.3322920314967632,0.08051529790660261,10.744875064119697,9.091143317230276,35.2317919023335,0.02662372517444611,715.169542003423
000011,95.62082662372518,22.695707972161472,53.385721953837894,0.3564170328900218,81.38293075684379,2.3078330559656024,2.8706387546967305,10.369583033025265,8.304240472356417,36.59916599281132,1.5493290391841108,733.1504159374163
000012,95.83102522812668,25.072041898965836,52.964895330112725,1.0414159623906016,82.80236178207193,2.272250014357269,2.910144927536229,11.160708032548428,7.2588298443370896,35.07395903579891,1.9098228663446015,761.4255408989266
000013,96.26709608158883,41.61558405030519,53.490928609769185,1.797541044652462,83.6096618357488,4.741667071357369,2.5545893719806756,13.220665976405144,5.939667203435317,40.91908293776214,3.696618357487924,806.7888329969719
