frame,sahi_latency_ms,retigate_latency_ms,sahi_objs,reti_captured,recall,speedup
000000_10.png,260.69733302574605,96.26854199450463,12,12,1.0,2.70802203528363
000001_10.png,189.85358404461294,94.0503339515999,17,14,0.8235294117647058,2.0186380639787544
000002_10.png,208.47608393523842,91.52512496802956,14,13,0.9285714285714286,2.2778016856907954
000003_10.png,226.92987497430295,97.13899996131659,10,10,1.0,2.3361355898729927
000004_10.png,221.86537506058812,106.0844169696793,15,15,1.0,2.091404010110184
000005_10.png,216.63425001315773,107.33099991921335,14,14,1.0,2.0183754011070008
000006_10.png,252.98975000623614,110.92424998059869,7,7,1.0,2.2807433906515984
000007_10.png,250.1399168977514,104.76145800203085,9,9,1.0,2.3877093892001993
000008_10.png,192.60970794130117,90.78337496612221,11,11,1.0,2.1216407521000145
000009_10.png,195.8872090326622,89.4258749904111,11,1,0.09090909090909091,2.1904980974876307
000010_10.png,190.06137503311038,90.5629169428721,12,5,0.4166666666666667,2.098666666766076
000011_10.png,202.5114999851212,96.9225000590086,10,10,1.0,2.089416800658543
000012_10.png,192.14075000490993,90.66433401312679,7,1,0.14285714285714285,2.119253972318276
000013_10.png,197.56683299783617,89.66412500012666,14,14,1.0,2.203410037153177
000014_10.png,185.77941705007106,90.74099990539253,14,14,1.0,2.0473591567622855
000015_10.png,199.93566698394716,89.27308395504951,13,13,1.0,2.2395962828462173
000016_10.png,186.29116599913687,85.9768339432776,14,14,1.0,2.1667600149365898
000017_10.png,196.7927919467911,89.86704202834517,11,11,1.0,2.1898216243138418
000018_10.png,191.4328329730779,88.20899995043874,3,3,1.0,2.1702188334595864
000019_10.png,195.09295898023993,89.41195800434798,3,3,1.0,2.181956008286418
000020_10.png,179.96808292809874,93.20075006689876,4,4,1.0,1.9309724739223566
000021_10.png,192.51845800317824,92.27316698525101,6,4,0.6666666666666666,2.0863969915972485
000022_10.png,188.89054202008992,89.48812494054437,5,5,1.0,2.1107889135635394
000023_10.png,188.42241598758847,87.02224993612617,7,7,1.0,2.1652211489117947
000024_10.png,190.68008300382644,90.3826659778133,8,8,1.0,2.1096974839250002
000025_10.png,197.48537510167807,91.99591702781618,7,7,1.0,2.146675433888721
000026_10.png,187.6029580598697,89.90683394949883,5,5,1.0,2.086637353565885
000027_10.png,192.55174999125302,93.84508291259408,6,6,1.0,2.0518043568739013
000028_10.png,185.68774999585003,86.69258398003876,4,4,1.0,2.1419104319073616
000029_10.png,193.64058296196163,91.232959064655,6,6,1.0,2.1224849544201714
000030_10.png,203.56674992945045,97.25383401382715,7,7,1.0,2.0931488408005405
000031_10.png,242.19533300492913,101.35350003838539,11,11,1.0,2.3896099583458192
000032_10.png,201.77958405110985,98.54920802172273,7,7,1.0,2.0475008181357737
000033_10.png,221.16945800371468,95.21649999078363,4,3,0.75,2.3228060055255395
000034_10.png,188.1920420564711,88.64433399867266,16,6,0.375,2.123001364749258
000035_10.png,193.77400004304945,90.52691701799631,8,8,1.0,2.1405125284950124
000036_10.png,191.6260840371251,90.82837495952845,5,5,1.0,2.109760128621814
000037_10.png,196.2818750180304,90.10699996724725,7,7,1.0,2.178319942838807
000038_10.png,192.59579200297594,90.31520900316536,7,5,0.7142857142857143,2.1324845962126475
000039_10.png,197.89004104677588,91.36670897714794,6,6,1.0,2.1658878081760706
000040_10.png,180.8216250501573,89.7639999166131,8,8,1.0,2.0144114034371556
000041_10.png,197.6643749512732,93.53325003758073,7,7,1.0,2.1133059620172894
000042_10.png,188.32466704770923,87.3172499705106,5,3,0.6,2.1567865125311614
000043_10.png,198.24383407831192,90.19487490877509,8,8,1.0,2.197950097262397
000044_10.png,179.98487502336502,87.12491590995342,9,5,0.5555555555555556,2.065825523543524
000045_10.png,205.1168750040233,90.12833307497203,8,4,0.5,2.275831228714722
000046_10.png,191.34724989999086,88.59104197472334,10,10,1.0,2.1598938858240966
000047_10.png,193.5532500501722,91.89479099586606,8,5,0.625,2.10624832977616
000048_10.png,214.46433407254517,109.2415830353275,12,8,0.6666666666666666,1.9632115181193395
000049_10.png,230.62762501649559,101.09333309810609,8,5,0.625,2.281333674028562
