Method,Mean_Sparsity (%),Mean_Latency (ms),Robust_to_EgoMotion
RetiGate,97.52294363929146,187.66822292702273,YES
FrameDiff,43.76314331723028,0.5563029262702912,NO
MOG2,69.93117981749866,2.07027584197931,NO
DISFlow,15.844798711755232,10.210756688611582,NO
Farneback,24.421629629629628,33.90451790881343,NO
