Method,Mean_Sparsity (%),Std_Sparsity (%),Mean_Latency (ms),Std_Latency (ms),Robust_to_EgoMotion
RetiGate,97.10412335919582,1.5912141573063228,25.04616332560251,3.161057191309472,YES
FrameDiff,50.242057721606834,4.043891236178966,0.5795803812398302,0.21375961972307977,NO
MOG2,73.25930914079062,7.862086930352143,2.2619667550022102,0.4034059004376562,NO
DISFlow,1.2143138307389516,1.8152680858712107,10.849031137603552,0.6184969700986728,NO
Farneback,7.606363148392136,2.8365555331048657,34.85790323207362,1.2514715635941769,NO
RAFT,1.1982693277379264,2.056367875747032,723.5778505923321,33.30821894014462,NO
