Sequence,Detector,Dense mAP@50,Sparse mAP@50,Retention@50 (%),Dense mAP@75,Sparse mAP@75,Retention@75 (%),Mean ROI area (%),Dense lat (ms),Sparse lat (ms),N frames
0006,YOLO11m,61.96333169937134,70.979905128479,114.5514664589915,53.6281943321228,60.02222299575806,111.92288635346668,42.66666666666667,25.89026965491676,63.6851079714573,221
0006,RT-DETR-L,78.61219644546509,80.5037796497345,102.4062210315948,66.06581211090088,70.95583081245422,107.40173857750321,42.66666666666667,460.88846402223817,481.3299783525516,221
0012,YOLO11m,29.341185092926025,42.51607954502106,144.90239371848486,14.034044742584229,22.993120551109314,163.8381590828202,20.35984970477724,21.645703482835625,55.2539225273694,78
0012,RT-DETR-L,35.853973031044006,48.23525249958038,134.5325173804758,22.86231368780136,29.837119579315186,130.50787416688877,20.35984970477724,448.5494118476382,466.4241911929984,78
0015,YOLO11m,52.61117219924927,39.48189914226532,75.04470531988775,34.54085290431976,16.11928939819336,46.667317228224675,44.48926868044515,20.673088804618057,55.592888528097205,376
0015,RT-DETR-L,57.11600184440613,43.53019595146179,76.21366087571322,34.255632758140564,18.82205307483673,54.94586308689286,44.48926868044515,462.11427880730974,471.8857895461545,376
0020,YOLO11m,63.24761509895325,48.4262079000473,76.56606154126554,45.452189445495605,34.47857201099396,75.8567902484417,81.62771958098308,19.971494122298175,64.1592194419688,837
0020,RT-DETR-L,68.59055757522583,52.80824303627014,76.99054345542149,49.39299523830414,37.83828914165497,76.60658957631198,81.62771958098308,462.95234025177837,475.22328819357983,837
