Detector,Dense mAP@50,Sparse mAP@50,Retention@50 (%),Dense mAP@75,Sparse mAP@75,Retention@75 (%),Mean ROI area (%)
RT-DETR-L,60.04318222403526,56.2693677842617,97.53573568580133,43.144188448786736,39.36332315206528,92.3655163518992,47.28587615821804
YOLO11m,51.79082602262497,50.35102292895317,102.76615675965742,36.9138203561306,33.40330123901367,99.57128822823832,47.28587615821804
