sequence,recall,sparsity,tp,gt_count
bear,40.243902439024396,93.77573077911694,33,82
bike-packing,84.05797101449275,93.26349405425493,116,138
blackswan,90.0,91.7937987900078,45,50
bmx-bumps,58.64661654135338,92.83416818457802,78,133
bmx-trees,58.75,93.117812621975,94,160
boat,22.666666666666664,95.43113127764767,17,75
boxing-fisheye,70.49808429118774,92.62815228314805,184,261
breakdance,80.95238095238095,95.20607679547228,68,84
breakdance-flare,73.23943661971832,94.53695533858892,52,71
bus,78.75,92.25494913641685,63,80
camel,52.22222222222223,93.54419019429264,47,90
car-roundabout,41.333333333333336,91.6401704397606,31,75
car-shadow,32.5,89.07984484777516,13,40
car-turn,27.500000000000004,93.49322733704136,22,80
cat-girl,46.06741573033708,91.94122913043658,82,178
classic-car,57.67195767195767,90.39818454704283,109,189
color-run,49.30875576036866,92.08439335433627,107,217
cows,27.884615384615387,94.14591683930824,29,104
crossing,89.1025641025641,94.25158473698434,139,156
dance-jump,65.0,92.43790658339839,39,60
dance-twirl,74.44444444444444,92.62640948911442,67,90
dancing,74.19354838709677,91.5837866082446,138,186
disc-jockey,100.0,96.41997781965901,223,223
dog,75.0,93.08978174603175,45,60
dog-agility,80.0,85.99149102263857,20,25
dog-gooses,91.33489461358315,93.74386437285551,390,427
dogs-jump,87.87878787878788,96.3433811179713,174,198
dogs-scale,77.12418300653596,92.11253091993265,236,306
drift-chicane,94.23076923076923,96.42355168738366,49,52
drift-straight,70.0,90.0146467603435,35,50
drift-turn,65.625,90.77243349312062,42,64
drone,68.79194630872483,91.33887555652777,205,298
elephant,76.25,94.11263478239657,61,80
flamingo,66.25,92.85998182572209,53,80
goat,47.77777777777778,93.51359885939803,43,90
gold-fish,82.3076923076923,95.10660303949237,321,390
hike,72.5,93.25688548985168,58,80
hockey,76.85185185185185,92.92226775956284,166,216
horsejump-high,94.0,90.08208918813425,94,100
horsejump-low,81.66666666666667,92.02546431824096,98,120
india,68.0,93.23324755929492,136,200
judo,75.0,94.07850742756119,51,68
kid-football,82.3076923076923,91.912837368554,107,130
kite-surf,73.91304347826086,93.15031713505076,102,138
kite-walk,98.75,95.84982130659641,237,240
koala,87.0,94.35876512490242,87,100
lab-coat,65.95744680851064,90.52686979919278,155,235
lady-running,49.107142857142854,91.09473142977241,55,112
libby,71.42857142857143,91.98310471729675,35,49
lindy-hop,66.49029982363317,92.01483684086705,377,567
loading,56.666666666666664,89.07504391100703,85,150
longboard,45.94594594594595,90.68016085690266,102,222
lucia,68.57142857142857,92.88323157131704,48,70
mallard-fly,65.71428571428571,93.1904274004684,46,70
mallard-water,38.75,92.62689976092896,31,80
mbike-trick,53.16455696202531,94.17901856737714,84,158
miami-surf,72.46963562753037,94.72908651165385,179,247
motocross-bumps,70.0,92.82098946135832,84,120
motocross-jump,55.00000000000001,91.42775419594066,44,80
motorbike,78.29457364341084,90.74305479912132,101,129
night-race,100.0,94.4188897939789,83,83
paragliding,95.71428571428572,95.63237774618044,134,140
paragliding-launch,91.66666666666666,95.70883343091336,220,240
parkour,30.0,92.06669350117096,30,100
pigs,85.65400843881856,95.11817989802272,203,237
planes-water,84.21052631578947,97.09736046057769,64,76
rallye,100.0,94.16600800156128,50,50
rhino,73.33333333333333,93.73003946569521,66,90
rollerblade,62.857142857142854,90.88902364224379,22,35
schoolgirls,85.0,95.86706857435597,476,560
scooter-black,44.18604651162791,87.35111105059637,38,86
scooter-board,51.02040816326531,90.11350110662171,75,147
scooter-gray,68.0,90.76621454592765,102,150
sheep,94.41176470588235,96.34196557721448,321,340
shooting,80.0,91.82844147858796,96,120
skate-park,93.19727891156462,93.75282677107728,137,147
snowboard,74.24242424242425,90.56598996404324,98,132
soapbox,46.801346801346796,92.81073321032336,139,297
soccerball,93.75,93.02352694834765,45,48
stroller,75.27472527472527,93.24496444227125,137,182
stunt,6.338028169014084,91.84460932260228,9,142
surf,90.0,92.7568705201902,135,150
swing,47.77777777777778,92.36612428441322,86,180
tennis,84.21052631578947,92.48386793241885,128,152
tractor-sand,82.01754385964912,93.589968774395,187,228
train,38.75,92.56930925546449,124,320
tuk-tuk,55.932203389830505,90.5492307717752,99,177
upside-down,52.307692307692314,88.81615925058547,68,130
varanus-cage,50.74626865671642,91.79100472462046,34,67
walking,66.14173228346458,90.40321892076503,84,127
