sequence,recall,sparsity,tp,gt_count
bear,90.2439024390244,98.84898124083699,74,82
bike-packing,100.0,98.52495753039231,138,138
blackswan,96.0,98.8213700234192,48,50
bmx-bumps,98.49624060150376,98.60831923844218,131,133
bmx-trees,100.0,99.13042178961749,160,160
boat,94.66666666666667,99.54067460317461,71,75
boxing-fisheye,95.40229885057471,97.84809427351117,249,261
breakdance,96.42857142857143,98.89841455707966,81,84
breakdance-flare,100.0,99.41449241899484,71,71
bus,98.75,98.04804291081186,79,80
camel,94.44444444444444,98.6713477968601,85,90
car-roundabout,89.33333333333333,97.78940931563884,67,75
car-shadow,82.5,97.21635928961749,33,40
car-turn,96.25,98.94457150175644,77,80
cat-girl,96.06741573033707,98.0581464785374,171,178
classic-car,72.4867724867725,97.06233039663954,137,189
color-run,99.07834101382488,98.7924502109587,215,217
cows,97.11538461538461,98.91429096859426,101,104
crossing,94.23076923076923,98.50092231880143,147,156
dance-jump,96.66666666666667,98.33318289747594,58,60
dance-twirl,98.88888888888889,98.15000758955676,89,90
dancing,96.7741935483871,97.86550404799677,180,186
disc-jockey,91.92825112107623,99.74051072595812,205,223
dog,98.33333333333333,99.48940443663804,59,60
dog-agility,92.0,96.52531225604994,23,25
dog-gooses,100.0,98.2165039576639,427,427
dogs-jump,100.0,99.62429845882713,198,198
dogs-scale,84.9673202614379,97.75849298834683,260,306
drift-chicane,100.0,99.69613676965112,52,52
drift-straight,88.0,97.15351288056205,44,50
drift-turn,81.25,97.90758715115143,52,64
drone,92.9530201342282,97.79013701949884,277,298
elephant,100.0,99.29545704039813,80,80
flamingo,100.0,97.99435865534738,80,80
goat,91.11111111111111,98.95582335848728,82,90
gold-fish,100.0,99.51569036610022,390,390
hike,93.75,98.90525895296643,75,80
hockey,83.79629629629629,98.58734061930782,181,216
horsejump-high,48.0,97.12178961748636,48,100
horsejump-low,96.66666666666667,97.99285226385638,116,120
india,100.0,98.81554726727768,200,200
judo,95.58823529411765,99.06730725076915,65,68
kid-football,90.0,97.66220883845344,117,130
kite-surf,100.0,99.28791959406713,138,138
kite-walk,100.0,99.17586968188915,240,240
koala,97.0,99.45229556986732,97,100
lab-coat,80.0,97.99635528260832,188,235
lady-running,98.21428571428571,98.42369618086833,110,112
libby,100.0,99.18702404849526,49,49
lindy-hop,96.11992945326278,98.02881016543155,545,567
loading,98.0,96.81916959406712,147,150
longboard,85.58558558558559,98.2002961178166,190,222
lucia,97.14285714285714,99.09030333444854,68,70
mallard-fly,92.85714285714286,99.24553919928628,65,70
mallard-water,98.75,98.72379976580797,79,80
mbike-trick,96.83544303797468,99.34749540509294,153,158
miami-surf,98.78542510121457,99.55374219359875,244,247
motocross-bumps,65.83333333333333,98.73467993754879,79,120
motocross-jump,92.5,99.1214200331772,74,80
motorbike,90.69767441860465,97.77856257829094,117,129
night-race,98.79518072289156,99.08628512880564,82,83
paragliding,100.0,99.67820201851231,140,140
paragliding-launch,100.0,99.57741754488681,240,240
parkour,99.0,98.76789861436377,99,100
pigs,98.73417721518987,99.63830546744535,234,237
planes-water,78.94736842105263,99.941124584001,60,76
rallye,94.0,98.43703649492585,47,50
rhino,94.44444444444444,98.8945620825744,85,90
rollerblade,91.42857142857143,98.48879223820677,32,35
schoolgirls,96.78571428571429,99.1042307035519,542,560
scooter-black,50.0,95.44653069004957,43,86
scooter-board,93.87755102040816,97.3880349743933,138,147
scooter-gray,94.66666666666667,98.03831967213115,142,150
sheep,96.17647058823529,99.40429194218672,327,340
shooting,85.0,98.92633282696758,102,120
skate-park,99.31972789115646,97.92656798887587,146,147
snowboard,95.45454545454545,97.23671137605564,126,132
soapbox,95.95959595959596,98.73982802261493,285,297
soccerball,95.83333333333334,98.671620885376,46,48
stroller,100.0,99.08435095349613,182,182
stunt,55.633802816901415,98.14197342525095,79,142
surf,74.66666666666667,98.61279362713788,112,150
swing,96.66666666666667,98.9115152550091,174,180
tennis,92.10526315789474,98.35790607226497,140,152
tractor-sand,89.03508771929825,98.72320722400262,203,228
train,95.3125,98.50381781811086,305,320
tuk-tuk,97.74011299435028,97.93734866828088,173,177
upside-down,86.15384615384616,96.4901106407254,112,130
varanus-cage,89.55223880597015,98.28692456919151,60,67
walking,93.7007874015748,97.65426451773789,119,127
