sequence,recall,sparsity,tp,gt_count
bear,19.51219512195122,99.99759917461586,16,82
bike-packing,44.927536231884055,99.99496668790148,62,138
blackswan,4.0,99.99962919594067,2,50
bmx-bumps,36.84210526315789,99.99680967560069,49,133
bmx-trees,37.5,99.99879244730678,60,160
boat,1.3333333333333335,99.9998471246422,1,75
boxing-fisheye,49.808429118773944,99.97293276176121,130,261
breakdance,13.095238095238097,99.99677637448423,11,84
breakdance-flare,0.0,99.9998075887016,0,71
bus,73.75,99.98241730093676,59,80
camel,6.666666666666667,99.99920580709515,6,90
car-roundabout,32.0,99.9957943013271,24,75
car-shadow,20.0,99.99583455308353,8,40
car-turn,33.75,99.99865827478531,27,80
cat-girl,34.26966292134831,99.99505369248922,61,178
classic-car,58.201058201058196,99.96740362811789,110,189
color-run,5.529953917050691,99.99772603713618,12,217
cows,0.9615384615384616,99.99989679036811,1,104
crossing,12.179487179487179,99.99229211703597,19,156
dance-jump,1.6666666666666667,99.99905266068176,1,60
dance-twirl,11.11111111111111,99.99854714198979,10,90
dancing,31.72043010752688,99.98989181209237,59,186
disc-jockey,0.0,99.99986992415133,0,223
dog,0.0,99.99999186833203,0,60
dog-agility,16.0,99.99676034348165,4,25
dog-gooses,7.494145199063232,99.99524581086725,32,427
dogs-jump,0.0,99.99992237953305,0,198
dogs-scale,37.908496732026144,99.98947781759355,116,306
drift-chicane,0.0,100.0,0,52
drift-straight,24.0,99.99646760343484,12,50
drift-turn,3.125,99.99946254757026,2,64
drone,51.006711409395976,99.99115077935336,152,298
elephant,0.0,99.9999756049961,0,80
flamingo,77.5,99.98349677985948,62,80
goat,1.1111111111111112,99.99976418162895,1,90
gold-fish,0.0,100.0,0,390
hike,3.75,99.99943586553474,3,80
hockey,22.685185185185187,99.99755074160812,49,216
horsejump-high,39.0,99.99353532396566,39,100
horsejump-low,39.166666666666664,99.99697501951599,47,120
india,34.5,99.99600945923807,69,200
judo,5.88235294117647,99.99672102447536,4,68
kid-football,38.46153846153847,99.99381156150986,50,130
kite-surf,2.898550724637681,99.99992193598752,4,138
kite-walk,43.333333333333336,99.99369694086651,104,240
koala,0.0,100.0,0,100
lab-coat,17.4468085106383,99.9986037753085,41,235
lady-running,16.071428571428573,99.99613433015072,18,112
libby,0.0,99.99995519284998,0,49
lindy-hop,40.38800705467372,99.99434904772599,229,567
loading,22.0,99.99359387197501,33,150
longboard,40.54054054054054,99.99479260493605,90,222
lucia,1.4285714285714286,99.99967240994759,1,70
mallard-fly,1.4285714285714286,99.99958179993307,1,70
mallard-water,3.75,99.99968896370024,3,80
mbike-trick,25.949367088607595,99.99761608316288,41,158
miami-surf,29.1497975708502,99.99817037470724,72,247
motocross-bumps,0.0,99.99975604996096,0,120
motocross-jump,5.0,99.99935353239657,4,80
motorbike,93.02325581395348,99.98992429606231,120,129
night-race,77.10843373493977,99.9885396514272,64,83
paragliding,0.0,99.99998954499831,0,140
paragliding-launch,2.5,99.99987497560501,6,240
parkour,4.0,99.9994950234192,4,100
pigs,0.0,100.0,0,237
planes-water,0.0,99.99994864209705,0,76
rallye,72.0,99.98988583138174,36,50
rhino,1.1111111111111112,99.99976147107296,1,90
rollerblade,5.714285714285714,99.99919147987063,2,35
schoolgirls,12.5,99.99300168325529,70,560
scooter-black,100.0,99.94659196122215,86,86
scooter-board,46.93877551020408,99.98334169733468,69,147
scooter-gray,19.333333333333332,99.99604150403331,29,150
sheep,15.294117647058824,99.99905289984846,52,340
shooting,12.5,99.9969482421875,15,120
skate-park,35.374149659863946,99.95681779371584,52,147
snowboard,26.515151515151516,99.99136195089065,35,132
soapbox,2.0202020202020203,99.99985461563331,6,297
soccerball,2.083333333333333,99.99463818143379,1,48
stroller,13.736263736263737,99.9984103035918,25,182
stunt,51.40845070422535,99.99514848654769,73,142
surf,19.333333333333332,99.99872702434178,29,150
swing,6.666666666666667,99.99883310564663,12,180
tennis,44.07894736842105,99.99745246459237,67,152
tractor-sand,17.105263157894736,99.99903061958175,39,228
train,2.1875,99.99893576795473,7,320
tuk-tuk,9.03954802259887,99.99469925508409,16,177
upside-down,76.15384615384615,99.96947246742327,99,130
varanus-cage,29.850746268656714,99.99805568177847,20,67
walking,16.535433070866144,99.99525313882383,21,127
