Threshold,Sparsity (%),Recall (%)
0.01,93.99516244624942,84.78260869565217
0.05,98.60378842172322,94.92753623188406
0.1,99.72557997557996,99.27536231884058
0.2,99.99391490152361,39.85507246376812
