frame,dense_gflops,reti_gflops,energy_savings_pct,sensing_latency_ms
000008.png,45.2,45.25,-0.11061946902655162,23.483875091187656
000009.png,45.2,45.25,-0.11061946902655162,22.26641704328358
000010.png,45.2,45.25,-0.11061946902655162,23.86395796202123
000011.png,45.2,36.04259259259259,20.259750901343832,22.361542098224163
000012.png,45.2,37.31634460547504,17.44171547461275,24.673708016052842
000013.png,45.2,33.131159420289855,26.70097473387201,24.182624998502433
000014.png,45.2,45.25,-0.11061946902655162,23.584333015605807
000015.png,45.2,45.25,-0.11061946902655162,23.11812504194677
000016.png,45.2,45.25,-0.11061946902655162,23.02700001746416
000017.png,45.2,45.25,-0.11061946902655162,23.040915955789387
000018.png,45.2,45.25,-0.11061946902655162,23.08329101651907
000019.png,45.2,45.25,-0.11061946902655162,23.404666921123862
000020.png,45.2,41.35595813204509,8.504517406979895,23.498916998505592
000021.png,45.2,39.68188405797101,12.208221110683603,22.71358307916671
000022.png,45.2,41.210386473429956,8.826578598606293,23.567875032313168
000023.png,45.2,41.210386473429956,8.826578598606293,22.472458076663315
000024.png,45.2,41.02842190016103,9.22915508813933,23.236999986693263
000025.png,45.2,41.06481481481482,9.148639790232716,22.873125039041042
000026.png,45.2,41.06481481481482,9.148639790232716,23.088332964107394
000027.png,45.2,42.30217391304348,6.411119661408227,22.21487497445196
000028.png,45.2,42.59331723027375,5.7669972781554275,22.82237506005913
000029.png,45.2,45.25,-0.11061946902655162,23.227125057019293
000030.png,45.2,43.1756038647343,4.478752511649786,23.287415970116854
000031.png,45.2,42.556924315619966,5.84751257606203,23.203750024549663
000032.png,45.2,42.81167471819646,5.283905490715812,22.380457958206534
000033.png,45.2,13.151449275362321,70.90387328459664,23.04724999703467
000034.png,45.2,40.300563607085344,10.83946104627137,22.65654201619327
000035.png,45.2,34.887821148684914,22.814554980785594,23.72558298520744
000036.png,45.2,42.37495974235105,6.250089065595022,22.417041938751936
