Threshold,Sparsity (%),Recall (%)
0.01,89.03925711218464,47.44897959183674
0.05,95.8131486849168,79.59183673469387
0.1,98.67958776167472,94.13265306122449
0.2,99.89927214170692,89.28571428571429
