Farneback_ms,RetiGate_ms
38.27016707509756,16.206166008487344
34.90645799320191,15.321000013500452
34.191583981737494,15.589167014695704
33.66383397951722,15.296666999347508
33.8491250295192,14.593624975532293
34.73512490745634,15.116124995984137
35.22991598583758,33.7900830199942
35.310624982230365,15.76537499204278
37.35258290544152,16.558166942559183
33.586167031899095,15.404000063426793
33.31550001166761,15.454957960173488
32.79695799574256,15.06574999075383
33.47816702444106,15.438708011060953
33.73045800253749,15.918958000838757
32.59625006467104,15.3350830078125
33.47816702444106,16.638334025628865
33.25158299412578,15.442542033270001
35.46162508428097,15.685708029195666
35.35300004296005,15.963000012561679
34.14891706779599,14.895915985107422
33.651167061179876,15.306290937587619
34.668250009417534,15.479166992008686
34.491791971959174,15.230749966576695
34.93366693146527,15.483625000342727
32.981625059619546,15.089874970726669
35.04304203670472,15.79691597726196
33.184625091962516,15.06500004325062
33.73487503267825,15.21041605155915
35.84762499667704,17.96958304475993
34.501084010116756,15.246708993799984
34.89737503696233,15.271292068064213
33.537124982103705,15.0683339452371
33.534707967191935,14.782499987632036
35.01129196956754,15.580083010718226
33.26062497217208,14.657124993391335
33.513958915136755,15.360958990640938
33.70508400257677,14.69358301255852
34.98312504962087,19.674916984513402
38.90329203568399,16.628207988105714
37.32079197652638,16.059499932453036
35.76583391986787,16.69604203198105
35.58083297684789,16.228375025093555
35.06383392959833,15.86499996483326
33.096208004280925,15.965625061653554
32.986707985401154,16.264625010080636
32.56687498651445,14.617042033933103
32.259666942991316,17.362333950586617
35.15204100403935,16.472166986204684
36.59458295442164,18.27029208652675
35.391292069107294,16.05120801832527
33.14050007611513,16.306334058754146
33.61208306159824,15.512958052568138
31.78650001063943,14.832166023552418
33.95699989050627,15.259083011187613
33.85750006418675,15.008624992333353
33.76024996396154,15.009791939519346
32.70450001582503,17.947625019587576
37.85858303308487,18.27883394435048
37.61562495492399,19.759459071792662
35.57795798406005,15.28858405072242
34.43445800803602,15.071166912093759
33.755415934138,15.192541992291808
33.21312495972961,15.04616707097739
34.40816595684737,15.374958049505949
33.24825002346188,14.800707926042378
36.89037496224046,18.08441593311727
36.98079090099782,17.139583942480385
35.24825000204146,15.164540964178741
34.63837504386902,15.890624956227839
34.77662499062717,14.872165978886187
33.04708295036107,15.151166939176619
34.91937497165054,14.802207937464118
33.10854092705995,16.065040952526033
36.19091596920043,17.04612502362579
38.72050007339567,20.67474997602403
36.936999997124076,15.527082956396043
35.68329103291035,16.591499908827245
35.299082985147834,16.02129195816815
37.04733296763152,17.093374975956976
35.38683301303536,16.056541935540736
34.97279097791761,16.11583400517702
36.60608397331089,17.209165962412953
35.157708916813135,15.69745794404298
35.47624999191612,16.06574992183596
34.52999994624406,15.760999987833202
36.322667030617595,15.942625002935529
34.70862505491823,15.364166931249201
36.525709088891745,16.00079203490168
37.08920907229185,15.819417079910636
34.236458013765514,15.719749964773655
33.80904090590775,17.392999958246946
34.38954195007682,15.39433398284018
33.62708305940032,15.192250022664666
34.616666031070054,15.473500010557473
33.99787493981421,15.859624953009188
32.639874960295856,17.332290997728705
32.33308298513293,15.79991600010544
34.436500049196184,15.526333940215409
36.70045896433294,16.773000010289252
